cluster,item_id,name,category,occasion,body_type,image_path
0,55,"Formal Pants #55",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\055.jpg
0,76,"Sporty Skirt #76",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\076.jpg
0,131,"Casual Dress #131",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\131.jpg
0,132,"Sporty Jacket #132",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\132.jpg
0,134,"Sporty Pants #134",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\134.jpg
0,135,"Party Skirt #135",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\135.jpg
0,223,"Formal Jacket #223",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\223.jpg
0,247,"Casual Shirt #247",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\247.jpg
0,263,"Formal Shorts #263",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\263.jpg
0,301,"Casual Jacket #301",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\301.jpg
0,387,"Party Shorts #387",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\387.jpg
0,391,"Party Jacket #391",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\391.jpg
0,397,"Party Dress #397",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\397.jpg
0,444,"Party Pants #444",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\444.jpg
0,497,"Formal Shorts #497",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\497.jpg
1,60,"Casual Dress #60",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\060.jpg
1,260,"Sporty Dress #260",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\260.jpg
1,321,"Party Shorts #321",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\321.jpg
1,329,"Sporty Jacket #329",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\329.jpg
1,334,"Party Shirt #334",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\334.jpg
1,349,"Sporty Skirt #349",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\349.jpg
1,376,"Formal Dress #376",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\376.jpg
1,383,"Party Skirt #383",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\383.jpg
1,447,"Sporty Pants #447",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\447.jpg
1,457,"Casual Jacket #457",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\457.jpg
1,463,"Sporty Shirt #463",Shirt,Formal,Hourglass,C:\Users\anish\my_website\backend\dataset\images\463.jpg
2,152,"Formal Dress #152",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\152.jpg
2,188,"Party Skirt #188",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\188.jpg
2,194,"Party Dress #194",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\194.jpg
2,209,"Party Shirt #209",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\209.jpg
2,237,"Casual Shorts #237",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\237.jpg
2,405,"Casual Skirt #405",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\405.jpg
2,415,"Party Shorts #415",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\415.jpg
2,423,"Sporty Shorts #423",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\423.jpg
2,433,"Sporty Jacket #433",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\433.jpg
2,443,"Sporty Dress #443",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\443.jpg
3,15,"Party Shorts #15",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\015.jpg
3,16,"Formal Skirt #16",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\016.jpg
3,37,"Formal Pants #37",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\037.jpg
3,39,"Party Skirt #39",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\039.jpg
3,41,"Sporty Dress #41",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\041.jpg
3,48,"Sporty Skirt #48",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\048.jpg
3,66,"Party Dress #66",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\066.jpg
3,147,"Party Shirt #147",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\147.jpg
3,344,"Casual Shirt #344",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\344.jpg
3,355,"Formal Dress #355",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\355.jpg
3,361,"Party Shirt #361",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\361.jpg
3,381,"Formal Shirt #381",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\381.jpg
3,402,"Party Dress #402",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\402.jpg
3,418,"Party Shirt #418",Top,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\418.jpg
3,480,"Casual Dress #480",Traditional,Party,Rectangle,C:\Users\anish\my_website\backend\dataset\images\480.jpg
3,493,"Formal Jacket #493",Traditional,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\493.jpg
4,110,"Formal Pants #110",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\110.jpg
4,111,"Casual Shorts #111",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\111.jpg
4,113,"Formal Pants #113",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\113.jpg
4,114,"Party Skirt #114",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\114.jpg
4,121,"Formal Dress #121",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\121.jpg
4,122,"Formal Shorts #122",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\122.jpg
4,212,"Formal Shorts #212",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\212.jpg
4,341,"Formal Jacket #341",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\341.jpg
4,359,"Sporty Shirt #359",Shirt,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\359.jpg
5,7,"Sporty Pants #7",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\007.jpg
5,19,"Party Pants #19",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\019.jpg
5,27,"Formal Shirt #27",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\027.jpg
5,46,"Party Skirt #46",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\046.jpg
5,162,"Formal Skirt #162",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\162.jpg
5,214,"Casual Jacket #214",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\214.jpg
5,234,"Formal Pants #234",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\234.jpg
5,333,"Party Dress #333",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\333.jpg
5,338,"Sporty Jacket #338",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\338.jpg
5,475,"Party Shirt #475",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\475.jpg
5,482,"Formal Dress #482",Shirt,Formal,Athletic,C:\Users\anish\my_website\backend\dataset\images\482.jpg
6,72,"Casual Skirt #72",Pants,Casual,Inverted Triangle,C:\Users\anish\my_website\backend\dataset\images\072.jpg
7,21,"Party Shorts #21",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\021.jpg
7,43,"Casual Skirt #43",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\043.jpg
7,58,"Casual Skirt #58",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\058.jpg
7,79,"Casual Dress #79",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\079.jpg
7,80,"Sporty Pants #80",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\080.jpg
7,89,"Party Jacket #89",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\089.jpg
7,245,"Formal Shirt #245",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\245.jpg
7,264,"Formal Jacket #264",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\264.jpg
7,378,"Formal Skirt #378",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\378.jpg
7,437,"Formal Shorts #437",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\437.jpg
7,439,"Sporty Dress #439",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\439.jpg
7,452,"Party Pants #452",Top,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\452.jpg
7,484,"Formal Shirt #484",Top,Everyday,Unknown,C:\Users\anish\my_website\backend\dataset\images\484.jpg
8,50,"Formal Jacket #50",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\050.jpg
8,61,"Formal Skirt #61",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\061.jpg
8,68,"Party Jacket #68",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\068.jpg
8,84,"Casual Shorts #84",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\084.jpg
8,85,"Party Pants #85",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\085.jpg
8,177,"Sporty Shirt #177",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\177.jpg
8,219,"Formal Skirt #219",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\219.jpg
8,277,"Formal Pants #277",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\277.jpg
8,285,"Formal Dress #285",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\285.jpg
8,325,"Party Jacket #325",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\325.jpg
8,368,"Sporty Jacket #368",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\368.jpg
8,371,"Party Jacket #371",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\371.jpg
8,389,"Party Shirt #389",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\389.jpg
8,400,"Formal Shirt #400",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\400.jpg
8,411,"Casual Shorts #411",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\411.jpg
8,416,"Sporty Dress #416",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\416.jpg
8,454,"Casual Shirt #454",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\454.jpg
8,455,"Party Shirt #455",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\455.jpg
8,465,"Formal Skirt #465",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\465.jpg
8,469,"Party Shorts #469",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\469.jpg
8,470,"Party Pants #470",Top,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\470.jpg
9,142,"Formal Shorts #142",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\142.jpg
9,159,"Formal Shorts #159",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\159.jpg
9,170,"Casual Shirt #170",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\170.jpg
9,176,"Sporty Pants #176",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\176.jpg
9,191,"Sporty Shirt #191",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\191.jpg
9,202,"Party Skirt #202",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\202.jpg
9,231,"Casual Shirt #231",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\231.jpg
9,363,"Casual Jacket #363",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\363.jpg
9,382,"Party Jacket #382",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\382.jpg
9,403,"Party Jacket #403",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\403.jpg
9,435,"Party Skirt #435",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\435.jpg
9,445,"Formal Skirt #445",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\445.jpg
9,448,"Casual Pants #448",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\448.jpg
9,461,"Party Shirt #461",Traditional,Party,Pear,C:\Users\anish\my_website\backend\dataset\images\461.jpg
10,107,"Party Shirt #107",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\107.jpg
10,108,"Party Pants #108",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\108.jpg
10,149,"Party Skirt #149",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\149.jpg
10,171,"Formal Dress #171",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\171.jpg
10,184,"Formal Skirt #184",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\184.jpg
10,201,"Party Shirt #201",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\201.jpg
10,211,"Formal Pants #211",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\211.jpg
10,232,"Casual Jacket #232",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\232.jpg
10,259,"Casual Jacket #259",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\259.jpg
10,275,"Sporty Shorts #275",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\275.jpg
10,289,"Formal Jacket #289",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\289.jpg
10,304,"Formal Dress #304",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\304.jpg
10,319,"Formal Jacket #319",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\319.jpg
10,332,"Sporty Jacket #332",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\332.jpg
10,353,"Sporty Dress #353",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\353.jpg
10,409,"Party Skirt #409",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\409.jpg
10,412,"Casual Shirt #412",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\412.jpg
10,414,"Formal Shirt #414",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\414.jpg
10,446,"Party Shirt #446",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\446.jpg
10,453,"Formal Dress #453",Shirt,Casual,Athletic,C:\Users\anish\my_website\backend\dataset\images\453.jpg
11,178,"Sporty Dress #178",Shirt,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\178.jpg
11,182,"Sporty Skirt #182",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\182.jpg
11,197,"Party Shirt #197",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\197.jpg
11,233,"Casual Pants #233",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\233.jpg
11,395,"Sporty Skirt #395",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\395.jpg
11,406,"Formal Dress #406",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\406.jpg
11,473,"Party Dress #473",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\473.jpg
11,489,"Party Shorts #489",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\489.jpg
11,490,"Formal Shorts #490",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\490.jpg
11,491,"Party Dress #491",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\491.jpg
11,499,"Sporty Skirt #499",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\499.jpg
12,253,"Party Shorts #253",Pants,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\253.jpg
12,336,"Sporty Skirt #336",Pants,Everyday,Pear,C:\Users\anish\my_website\backend\dataset\images\336.jpg
12,350,"Party Pants #350",Traditional,Everyday,Hourglass,C:\Users\anish\my_website\backend\dataset\images\350.jpg
12,351,"Party Dress #351",Pants,Everyday,Pear,C:\Users\anish\my_website\backend\dataset\images\351.jpg
12,393,"Sporty Jacket #393",Traditional,Party,Hourglass,C:\Users\anish\my_website\backend\dataset\images\393.jpg
13,125,"Party Pants #125",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\125.jpg
13,129,"Party Shirt #129",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\129.jpg
13,146,"Party Pants #146",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\146.jpg
13,196,"Casual Pants #196",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\196.jpg
13,265,"Party Shorts #265",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\265.jpg
13,281,"Sporty Shorts #281",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\281.jpg
13,315,"Formal Shirt #315",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\315.jpg
13,324,"Party Shirt #324",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\324.jpg
13,372,"Party Pants #372",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\372.jpg
13,375,"Casual Shirt #375",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\375.jpg
13,384,"Casual Dress #384",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\384.jpg
13,398,"Formal Shirt #398",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\398.jpg
13,424,"Casual Shorts #424",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\424.jpg
13,427,"Formal Shirt #427",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\427.jpg
13,451,"Party Shirt #451",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\451.jpg
13,464,"Formal Pants #464",Top,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\464.jpg
14,309,"Formal Dress #309",Shirt,Formal,Unknown,C:\Users\anish\my_website\backend\dataset\images\309.jpg
14,343,"Formal Shorts #343",T-shirt,Sporty,Athletic,C:\Users\anish\my_website\backend\dataset\images\343.jpg
14,425,"Formal Dress #425",Pants,Formal,Rectangle,C:\Users\anish\my_website\backend\dataset\images\425.jpg
15,54,"Party Jacket #54",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\054.jpg
15,63,"Formal Skirt #63",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\063.jpg
15,75,"Party Skirt #75",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\075.jpg
15,119,"Party Jacket #119",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\119.jpg
15,243,"Casual Skirt #243",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\243.jpg
15,299,"Casual Dress #299",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\299.jpg
15,380,"Party Pants #380",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\380.jpg
15,471,"Casual Skirt #471",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\471.jpg
15,472,"Casual Shorts #472",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\472.jpg
15,477,"Formal Shirt #477",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\477.jpg
15,486,"Sporty Shirt #486",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\486.jpg
15,495,"Party Shirt #495",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\495.jpg
15,496,"Casual Skirt #496",Traditional,Casual,Unknown,C:\Users\anish\my_website\backend\dataset\images\496.jpg
16,145,"Formal Jacket #145",Traditional,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\145.jpg
16,155,"Formal Shirt #155",Dress,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\155.jpg
16,163,"Sporty Jacket #163",Traditional,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\163.jpg
16,166,"Formal Shirt #166",Traditional,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\166.jpg
16,174,"Sporty Shorts #174",Traditional,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\174.jpg
16,181,"Casual Shorts #181",Traditional,Party,Unknown,C:\Users\anish\my_website\backend\dataset\images\181.jpg
